path,pH,well,hour,split
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W7.JPG,5,7,216,test
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W7.JPG,5,7,264,test
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W8.JPG,5,8,0,test
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W8.JPG,5,8,24,test
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W8.JPG,5,8,30,test
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W8.JPG,5,8,48,test
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W8.JPG,5,8,72,test
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W8.JPG,5,8,95,test
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W8.JPG,5,8,120,test
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W8.JPG,5,8,168,test
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W8.JPG,5,8,192,test
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W8.JPG,5,8,216,test
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W8.JPG,5,8,264,test
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W9.JPG,5,9,0,test
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W9.JPG,5,9,24,test
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W9.JPG,5,9,30,test
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W9.JPG,5,9,48,test
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W9.JPG,5,9,72,test
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W9.JPG,5,9,95,test
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W9.JPG,5,9,120,test
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W9.JPG,5,9,168,test
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W9.JPG,5,9,192,test
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W9.JPG,5,9,216,test
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W9.JPG,5,9,264,test
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W15.JPG,5,15,0,test
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W15.JPG,5,15,24,test
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W15.JPG,5,15,30,test
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W15.JPG,5,15,48,test
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W15.JPG,5,15,72,test
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W15.JPG,5,15,95,test
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W15.JPG,5,15,120,test
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W15.JPG,5,15,168,test
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W15.JPG,5,15,192,test
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W15.JPG,5,15,216,test
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W15.JPG,5,15,264,test
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W16.JPG,5,16,0,test
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W16.JPG,5,16,24,test
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W16.JPG,5,16,30,test
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W16.JPG,5,16,48,test
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W16.JPG,5,16,72,test
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W16.JPG,5,16,95,test
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W16.JPG,5,16,120,test
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W16.JPG,5,16,168,test
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W16.JPG,5,16,192,test
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W16.JPG,5,16,216,test
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W16.JPG,5,16,264,test
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W18.JPG,5,18,0,test
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W18.JPG,5,18,24,test
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W18.JPG,5,18,30,test
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W18.JPG,5,18,48,test
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W18.JPG,5,18,72,test
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W18.JPG,5,18,120,test
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W18.JPG,5,18,168,test
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W18.JPG,5,18,192,test
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W18.JPG,5,18,216,test
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W18.JPG,5,18,264,test
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W35.JPG,5,35,0,test
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W35.JPG,5,35,24,test
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W35.JPG,5,35,30,test
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W35.JPG,5,35,48,test
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W35.JPG,5,35,72,test
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W35.JPG,5,35,120,test
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W35.JPG,5,35,168,test
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W35.JPG,5,35,192,test
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W35.JPG,5,35,216,test
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W35.JPG,5,35,264,test
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W41.JPG,5,41,0,test
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W41.JPG,5,41,24,test
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W41.JPG,5,41,30,test
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W41.JPG,5,41,48,test
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W41.JPG,5,41,72,test
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W41.JPG,5,41,95,test
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W41.JPG,5,41,120,test
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W41.JPG,5,41,168,test
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W41.JPG,5,41,192,test
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W41.JPG,5,41,216,test
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W41.JPG,5,41,264,test
Preprocessed_Data/0 hr/pH6 Hydrolytic/cropped_0hr_pH6_W3.JPG,6,3,0,test
Preprocessed_Data/24 hr/pH6 Hydrolytic/cropped_24hr_pH6_W3.JPG,6,3,24,test
Preprocessed_Data/30 hr/pH6 Hydrolytic/cropped_30hr_pH6_W3.JPG,6,3,30,test
Preprocessed_Data/48 hr/pH6 Hydrolytic/cropped_48hr_pH6_W3.JPG,6,3,48,test
Preprocessed_Data/72 hr/pH6 Hydrolytic/cropped_72hr_pH6_W3.JPG,6,3,72,test
Preprocessed_Data/95 hr/pH6 Hydrolytic/cropped_95hr_pH6_W3.JPG,6,3,95,test
Preprocessed_Data/120 hr/pH6 Hydrolytic/cropped_120hr_pH6_W3.JPG,6,3,120,test
Preprocessed_Data/168 hr/pH6 Hydrolytic/cropped_168hr_pH6_W3.JPG,6,3,168,test
Preprocessed_Data/192 hr/pH6 Hydrolytic/cropped_192hr_pH6_W3.JPG,6,3,192,test
Preprocessed_Data/216 hr/pH6 Hydrolytic/cropped_216hr_pH6_W3.JPG,6,3,216,test
Preprocessed_Data/264 hr/pH6 Hydrolytic/cropped_264hr_pH6_W3.JPG,6,3,264,test
Preprocessed_Data/0 hr/pH6 Hydrolytic/cropped_0hr_pH6_W6.JPG,6,6,0,test
Preprocessed_Data/24 hr/pH6 Hydrolytic/cropped_24hr_pH6_W6.JPG,6,6,24,test
Preprocessed_Data/30 hr/pH6 Hydrolytic/cropped_30hr_pH6_W6.JPG,6,6,30,test
Preprocessed_Data/48 hr/pH6 Hydrolytic/cropped_48hr_pH6_W6.jpg,6,6,48,test
Preprocessed_Data/72 hr/pH6 Hydrolytic/cropped_72hr_pH6_W6.JPG,6,6,72,test
Preprocessed_Data/95 hr/pH6 Hydrolytic/cropped_95hr_pH6_W6.JPG,6,6,95,test
Preprocessed_Data/120 hr/pH6 Hydrolytic/cropped_120hr_pH6_W6.JPG,6,6,120,test
Preprocessed_Data/168 hr/pH6 Hydrolytic/cropped_168hr_pH6_W6.JPG,6,6,168,test
Preprocessed_Data/192 hr/pH6 Hydrolytic/cropped_192hr_pH6_W6.JPG,6,6,192,test
Preprocessed_Data/216 hr/pH6 Hydrolytic/cropped_216hr_pH6_W6.JPG,6,6,216,test
Preprocessed_Data/264 hr/pH6 Hydrolytic/cropped_264hr_pH6_W6.JPG,6,6,264,test
Preprocessed_Data/0 hr/pH6 Hydrolytic/cropped_0hr_pH6_W8.JPG,6,8,0,test
Preprocessed_Data/24 hr/pH6 Hydrolytic/cropped_24hr_pH6_W8.JPG,6,8,24,test
Preprocessed_Data/30 hr/pH6 Hydrolytic/cropped_30hr_pH6_W8.JPG,6,8,30,test
Preprocessed_Data/48 hr/pH6 Hydrolytic/cropped_48hr_pH6_W8.JPG,6,8,48,test
Preprocessed_Data/72 hr/pH6 Hydrolytic/cropped_72hr_pH6_W8.JPG,6,8,72,test
Preprocessed_Data/95 hr/pH6 Hydrolytic/cropped_95hr_pH6_W8.JPG,6,8,95,test
Preprocessed_Data/120 hr/pH6 Hydrolytic/cropped_120hr_pH6_W8.JPG,6,8,120,test
Preprocessed_Data/168 hr/pH6 Hydrolytic/cropped_168hr_pH6_W8.JPG,6,8,168,test
Preprocessed_Data/192 hr/pH6 Hydrolytic/cropped_192hr_pH6_W8.JPG,6,8,192,test
Preprocessed_Data/216 hr/pH6 Hydrolytic/cropped_216hr_pH6_W8.JPG,6,8,216,test
Preprocessed_Data/264 hr/pH6 Hydrolytic/cropped_264hr_pH6_W8.JPG,6,8,264,test
Preprocessed_Data/0 hr/pH6 Hydrolytic/cropped_0hr_pH6_W19.JPG,6,19,0,test
Preprocessed_Data/24 hr/pH6 Hydrolytic/cropped_24hr_pH6_W19.JPG,6,19,24,test
Preprocessed_Data/30 hr/pH6 Hydrolytic/cropped_30hr_pH6_W19.JPG,6,19,30,test
Preprocessed_Data/48 hr/pH6 Hydrolytic/cropped_48hr_pH6_W19.JPG,6,19,48,test
Preprocessed_Data/72 hr/pH6 Hydrolytic/cropped_72hr_pH6_W19.JPG,6,19,72,test
Preprocessed_Data/95 hr/pH6 Hydrolytic/cropped_95hr_pH6_W19.JPG,6,19,95,test
Preprocessed_Data/120 hr/pH6 Hydrolytic/cropped_120hr_pH6_W19.JPG,6,19,120,test
Preprocessed_Data/168 hr/pH6 Hydrolytic/cropped_168hr_pH6_W19.JPG,6,19,168,test
Preprocessed_Data/192 hr/pH6 Hydrolytic/cropped_192hr_pH6_W19.JPG,6,19,192,test
Preprocessed_Data/216 hr/pH6 Hydrolytic/cropped_216hr_pH6_W19.JPG,6,19,216,test
Preprocessed_Data/264 hr/pH6 Hydrolytic/cropped_264hr_pH6_W19.JPG,6,19,264,test
Preprocessed_Data/0 hr/pH6 Hydrolytic/cropped_0hr_pH6_W25.JPG,6,25,0,test
Preprocessed_Data/24 hr/pH6 Hydrolytic/cropped_24hr_pH6_W25.JPG,6,25,24,test
Preprocessed_Data/30 hr/pH6 Hydrolytic/cropped_30hr_pH6_W25.JPG,6,25,30,test
Preprocessed_Data/48 hr/pH6 Hydrolytic/cropped_48hr_pH6_W25.JPG,6,25,48,test
Preprocessed_Data/72 hr/pH6 Hydrolytic/cropped_72hr_pH6_W25.JPG,6,25,72,test
Preprocessed_Data/95 hr/pH6 Hydrolytic/cropped_95hr_pH6_W25.JPG,6,25,95,test
Preprocessed_Data/120 hr/pH6 Hydrolytic/cropped_120hr_pH6_W25.JPG,6,25,120,test
Preprocessed_Data/168 hr/pH6 Hydrolytic/cropped_168hr_pH6_W25.JPG,6,25,168,test
Preprocessed_Data/192 hr/pH6 Hydrolytic/cropped_192hr_pH6_W25.JPG,6,25,192,test
Preprocessed_Data/216 hr/pH6 Hydrolytic/cropped_216hr_pH6_W25.JPG,6,25,216,test
Preprocessed_Data/264 hr/pH6 Hydrolytic/cropped_264hr_pH6_W25.JPG,6,25,264,test
Preprocessed_Data/0 hr/pH6 Hydrolytic/cropped_0hr_pH6_W30.JPG,6,30,0,test
Preprocessed_Data/24 hr/pH6 Hydrolytic/cropped_24hr_pH6_W30.JPG,6,30,24,test
Preprocessed_Data/30 hr/pH6 Hydrolytic/cropped_30hr_pH6_W30.JPG,6,30,30,test
Preprocessed_Data/48 hr/pH6 Hydrolytic/cropped_48hr_pH6_W30.JPG,6,30,48,test
Preprocessed_Data/72 hr/pH6 Hydrolytic/cropped_72hr_pH6_W30.JPG,6,30,72,test
Preprocessed_Data/95 hr/pH6 Hydrolytic/cropped_95hr_pH6_W30.JPG,6,30,95,test
Preprocessed_Data/120 hr/pH6 Hydrolytic/cropped_120hr_pH6_W30.JPG,6,30,120,test
Preprocessed_Data/168 hr/pH6 Hydrolytic/cropped_168hr_pH6_W30.JPG,6,30,168,test
Preprocessed_Data/192 hr/pH6 Hydrolytic/cropped_192hr_pH6_W30.JPG,6,30,192,test
Preprocessed_Data/216 hr/pH6 Hydrolytic/cropped_216hr_pH6_W30.JPG,6,30,216,test
Preprocessed_Data/264 hr/pH6 Hydrolytic/cropped_264hr_pH6_W30.JPG,6,30,264,test
Preprocessed_Data/0 hr/pH6 Hydrolytic/cropped_0hr_pH6_W35.JPG,6,35,0,test
Preprocessed_Data/24 hr/pH6 Hydrolytic/cropped_24hr_pH6_W35.JPG,6,35,24,test
Preprocessed_Data/30 hr/pH6 Hydrolytic/cropped_30hr_pH6_W35.JPG,6,35,30,test
Preprocessed_Data/48 hr/pH6 Hydrolytic/cropped_48hr_pH6_W35.JPG,6,35,48,test
Preprocessed_Data/72 hr/pH6 Hydrolytic/cropped_72hr_pH6_W35.JPG,6,35,72,test
Preprocessed_Data/95 hr/pH6 Hydrolytic/cropped_95hr_pH6_W35.JPG,6,35,95,test
Preprocessed_Data/120 hr/pH6 Hydrolytic/cropped_120hr_pH6_W35.JPG,6,35,120,test
Preprocessed_Data/168 hr/pH6 Hydrolytic/cropped_168hr_pH6_W35.JPG,6,35,168,test
Preprocessed_Data/192 hr/pH6 Hydrolytic/cropped_192hr_pH6_W35.JPG,6,35,192,test
Preprocessed_Data/216 hr/pH6 Hydrolytic/cropped_216hr_pH6_W35.JPG,6,35,216,test
Preprocessed_Data/264 hr/pH6 Hydrolytic/cropped_264hr_pH6_W35.JPG,6,35,264,test
Preprocessed_Data/0 hr/pH6 Hydrolytic/cropped_0hr_pH6_W36.JPG,6,36,0,test
Preprocessed_Data/24 hr/pH6 Hydrolytic/cropped_24hr_pH6_W36.JPG,6,36,24,test
Preprocessed_Data/30 hr/pH6 Hydrolytic/cropped_30hr_pH6_W36.JPG,6,36,30,test
Preprocessed_Data/48 hr/pH6 Hydrolytic/cropped_48hr_pH6_W36.JPG,6,36,48,test
Preprocessed_Data/72 hr/pH6 Hydrolytic/cropped_72hr_pH6_W36.JPG,6,36,72,test
Preprocessed_Data/95 hr/pH6 Hydrolytic/cropped_95hr_pH6_W36.JPG,6,36,95,test
Preprocessed_Data/120 hr/pH6 Hydrolytic/cropped_120hr_pH6_W36.JPG,6,36,120,test
Preprocessed_Data/168 hr/pH6 Hydrolytic/cropped_168hr_pH6_W36.JPG,6,36,168,test
Preprocessed_Data/192 hr/pH6 Hydrolytic/cropped_192hr_pH6_W36.JPG,6,36,192,test
Preprocessed_Data/216 hr/pH6 Hydrolytic/cropped_216hr_pH6_W36.JPG,6,36,216,test
Preprocessed_Data/264 hr/pH6 Hydrolytic/cropped_264hr_pH6_W36.JPG,6,36,264,test
Preprocessed_Data/0 hr/pH6 Hydrolytic/cropped_0hr_pH6_W47.JPG,6,47,0,test
Preprocessed_Data/24 hr/pH6 Hydrolytic/cropped_24hr_pH6_W47.JPG,6,47,24,test
Preprocessed_Data/30 hr/pH6 Hydrolytic/cropped_30hr_pH6_W47.JPG,6,47,30,test
Preprocessed_Data/48 hr/pH6 Hydrolytic/cropped_48hr_pH6_W47.JPG,6,47,48,test
Preprocessed_Data/72 hr/pH6 Hydrolytic/cropped_72hr_pH6_W47.JPG,6,47,72,test
Preprocessed_Data/95 hr/pH6 Hydrolytic/cropped_95hr_pH6_W47.JPG,6,47,95,test
Preprocessed_Data/120 hr/pH6 Hydrolytic/cropped_120hr_pH6_W47.JPG,6,47,120,test
Preprocessed_Data/168 hr/pH6 Hydrolytic/cropped_168hr_pH6_W47.JPG,6,47,168,test
Preprocessed_Data/192 hr/pH6 Hydrolytic/cropped_192hr_pH6_W47.JPG,6,47,192,test
Preprocessed_Data/0 hr/pH7 Hydrolytic/cropped_0hr_pH7_W5.JPG,7,5,0,test
Preprocessed_Data/24 hr/pH7 Hydrolytic/cropped_24hr_pH7_W5.JPG,7,5,24,test
Preprocessed_Data/30 hr/pH7 Hydrolytic/cropped_30hr_pH7_W5.JPG,7,5,30,test
Preprocessed_Data/48 hr/pH7 Hydrolytic/cropped_48hr_pH7_W5.JPG,7,5,48,test
Preprocessed_Data/72 hr/pH7 Hydrolytic/cropped_72hr_pH7_W5.JPG,7,5,72,test
Preprocessed_Data/95 hr/pH7 Hydrolytic/cropped_95hr_pH7_W5.JPG,7,5,95,test
Preprocessed_Data/120 hr/pH7 Hydrolytic/cropped_120hr_pH7_W5.JPG,7,5,120,test
Preprocessed_Data/168 hr/pH7 Hydrolytic/cropped_168hr_pH7_W5.JPG,7,5,168,test
Preprocessed_Data/192 hr/pH7 Hydrolytic/cropped_192hr_pH7_W5.JPG,7,5,192,test
Preprocessed_Data/216 hr/pH7 Hydrolytic/cropped_216hr_pH7_W5.JPG,7,5,216,test
Preprocessed_Data/264 hr/pH7 Hydrolytic/cropped_264hr_pH7_W5.JPG,7,5,264,test
Preprocessed_Data/0 hr/pH7 Hydrolytic/cropped_0hr_pH7_W14.JPG,7,14,0,test
Preprocessed_Data/24 hr/pH7 Hydrolytic/cropped_24hr_pH7_W14.JPG,7,14,24,test
Preprocessed_Data/30 hr/pH7 Hydrolytic/cropped_30hr_pH7_W14.JPG,7,14,30,test
Preprocessed_Data/48 hr/pH7 Hydrolytic/cropped_48hr_pH7_W14.JPG,7,14,48,test
Preprocessed_Data/72 hr/pH7 Hydrolytic/cropped_72hr_pH7_W14.JPG,7,14,72,test
Preprocessed_Data/95 hr/pH7 Hydrolytic/cropped_95hr_pH7_W14.JPG,7,14,95,test
Preprocessed_Data/120 hr/pH7 Hydrolytic/cropped_120hr_pH7_W14.JPG,7,14,120,test
Preprocessed_Data/168 hr/pH7 Hydrolytic/cropped_168hr_pH7_W14.JPG,7,14,168,test
Preprocessed_Data/192 hr/pH7 Hydrolytic/cropped_192hr_pH7_W14.JPG,7,14,192,test
Preprocessed_Data/216 hr/pH7 Hydrolytic/cropped_216hr_pH7_W14.JPG,7,14,216,test
Preprocessed_Data/264 hr/pH7 Hydrolytic/cropped_264hr_pH7_W14.JPG,7,14,264,test
Preprocessed_Data/0 hr/pH7 Hydrolytic/cropped_0hr_pH7_W18.JPG,7,18,0,test
Preprocessed_Data/24 hr/pH7 Hydrolytic/cropped_24hr_pH7_W18.JPG,7,18,24,test
Preprocessed_Data/30 hr/pH7 Hydrolytic/cropped_30hr_pH7_W18.JPG,7,18,30,test
Preprocessed_Data/48 hr/pH7 Hydrolytic/cropped_48hr_pH7_W18.JPG,7,18,48,test
Preprocessed_Data/72 hr/pH7 Hydrolytic/cropped_72hr_pH7_W18.JPG,7,18,72,test
Preprocessed_Data/95 hr/pH7 Hydrolytic/cropped_95hr_pH7_W18.JPG,7,18,95,test
Preprocessed_Data/120 hr/pH7 Hydrolytic/cropped_120hr_pH7_W18.JPG,7,18,120,test
Preprocessed_Data/168 hr/pH7 Hydrolytic/cropped_168hr_pH7_W18.JPG,7,18,168,test
Preprocessed_Data/192 hr/pH7 Hydrolytic/cropped_192hr_pH7_W18.JPG,7,18,192,test
Preprocessed_Data/216 hr/pH7 Hydrolytic/cropped_216hr_pH7_W18.JPG,7,18,216,test
Preprocessed_Data/264 hr/pH7 Hydrolytic/cropped_264hr_pH7_W18.JPG,7,18,264,test
Preprocessed_Data/0 hr/pH7 Hydrolytic/cropped_0hr_pH7_W21.JPG,7,21,0,test
Preprocessed_Data/24 hr/pH7 Hydrolytic/cropped_24hr_pH7_W21.JPG,7,21,24,test
Preprocessed_Data/30 hr/pH7 Hydrolytic/cropped_30hr_pH7_W21.JPG,7,21,30,test
Preprocessed_Data/48 hr/pH7 Hydrolytic/cropped_48hr_pH7_W21.JPG,7,21,48,test
Preprocessed_Data/72 hr/pH7 Hydrolytic/cropped_72hr_pH7_W21.JPG,7,21,72,test
Preprocessed_Data/95 hr/pH7 Hydrolytic/cropped_95hr_pH7_W21.JPG,7,21,95,test
Preprocessed_Data/120 hr/pH7 Hydrolytic/cropped_120hr_pH7_W21.JPG,7,21,120,test
Preprocessed_Data/168 hr/pH7 Hydrolytic/cropped_168hr_pH7_W21.JPG,7,21,168,test
Preprocessed_Data/192 hr/pH7 Hydrolytic/cropped_192hr_pH7_W21.JPG,7,21,192,test
Preprocessed_Data/216 hr/pH7 Hydrolytic/cropped_216hr_pH7_W21.JPG,7,21,216,test
Preprocessed_Data/264 hr/pH7 Hydrolytic/cropped_264hr_pH7_W21.JPG,7,21,264,test
Preprocessed_Data/0 hr/pH7 Hydrolytic/cropped_0hr_pH7_W26.JPG,7,26,0,test
Preprocessed_Data/24 hr/pH7 Hydrolytic/cropped_24hr_pH7_W26.JPG,7,26,24,test
Preprocessed_Data/30 hr/pH7 Hydrolytic/cropped_30hr_pH7_W26.JPG,7,26,30,test
Preprocessed_Data/48 hr/pH7 Hydrolytic/cropped_48hr_pH7_W26.JPG,7,26,48,test
Preprocessed_Data/72 hr/pH7 Hydrolytic/cropped_72hr_pH7_W26.JPG,7,26,72,test
Preprocessed_Data/95 hr/pH7 Hydrolytic/cropped_95hr_pH7_W26.JPG,7,26,95,test
Preprocessed_Data/120 hr/pH7 Hydrolytic/cropped_120hr_pH7_W26.JPG,7,26,120,test
Preprocessed_Data/168 hr/pH7 Hydrolytic/cropped_168hr_pH7_W26.JPG,7,26,168,test
Preprocessed_Data/192 hr/pH7 Hydrolytic/cropped_192hr_pH7_W26.JPG,7,26,192,test
Preprocessed_Data/216 hr/pH7 Hydrolytic/cropped_216hr_pH7_W26.JPG,7,26,216,test
Preprocessed_Data/264 hr/pH7 Hydrolytic/cropped_264hr_pH7_W26.JPG,7,26,264,test
Preprocessed_Data/0 hr/pH7 Hydrolytic/cropped_0hr_pH7_W32.JPG,7,32,0,test
Preprocessed_Data/24 hr/pH7 Hydrolytic/cropped_24hr_pH7_W32.JPG,7,32,24,test
Preprocessed_Data/30 hr/pH7 Hydrolytic/cropped_30hr_pH7_W32.JPG,7,32,30,test
Preprocessed_Data/48 hr/pH7 Hydrolytic/cropped_48hr_pH7_W32.JPG,7,32,48,test
Preprocessed_Data/72 hr/pH7 Hydrolytic/cropped_72hr_pH7_W32.JPG,7,32,72,test
Preprocessed_Data/95 hr/pH7 Hydrolytic/cropped_95hr_pH7_W32.JPG,7,32,95,test
Preprocessed_Data/120 hr/pH7 Hydrolytic/cropped_120hr_pH7_W32.JPG,7,32,120,test
Preprocessed_Data/168 hr/pH7 Hydrolytic/cropped_168hr_pH7_W32.JPG,7,32,168,test
Preprocessed_Data/192 hr/pH7 Hydrolytic/cropped_192hr_pH7_W32.JPG,7,32,192,test
